date,NO3-N_ugL_YRZ,NO3-N_ugL_YHZ
2012/12/4,809.166,1377.261
2012/12/5,719.377,1490.583
2012/12/6,428.868,1566.679
2012/12/7,890.941,1607.146
2012/12/8,270.217,1711.131
2012/12/9,319,1761.085
2012/12/10,803.768,1729.65
2012/12/11,768.609,1736.833
2012/12/12,745.288,1771.466
2012/12/13,734.58,1796.333
2012/12/14,741.411,1788.298
2012/12/15,1553.361,2151.495
2012/12/16,1823.516,1456.553
2012/12/17,1703.527,1920.713
2012/12/18,1582.459,3824.461
2012/12/19,1550.771,4303.416
2012/12/20,1467.063,4620.583
2012/12/21,1393.311,4819.558
2012/12/22,1336.829,4915.858
2012/12/23,1362.761,4352.842
2012/12/24,2045.005,4179.11
2012/12/25,2034.955,4178.51
2012/12/26,2184.745,4178.846
2012/12/27,1943.82,4179.211
2012/12/28,1123.106,4179.642
2012/12/29,1640.513,4179.294
2012/12/30,2139.436,4178.39
2012/12/31,2277.201,4179.083
2013/1/1,1868.966,4179.281
2013/1/2,2033.906,4178.945
2013/1/3,1548.228,3781.066
2013/1/4,1364.383,
2013/1/5,1336.489,
2013/1/6,1390.657,
2013/1/7,1413.146,
2013/1/8,1411.706,
2013/1/9,1389.258,
2013/1/10,1376.605,
2013/1/11,1382.604,
2013/1/12,1380.663,
2013/1/13,1376.079,
2013/1/14,1365.528,
2013/1/15,1426.35,
2013/1/16,1446.005,
2013/1/17,1445.988,
2013/1/18,1446.066,
2013/1/19,1446.085,
2013/1/20,1446.116,
2013/1/21,1446.062,
2013/1/22,1446.1,5.234
2013/1/23,,5.354
2013/1/24,,5.369
2013/1/25,,
2013/1/26,,
2013/1/27,,
2013/1/28,,
2013/1/29,868.913,2839.622
2013/1/30,1174.45,2840.342
2013/1/31,1300.848,3742.361
2013/2/1,1231.916,4276.302
2013/2/2,1242.763,4548.25
2013/2/3,1228.945,4844.474
2013/2/4,1147.609,4874.516
2013/2/5,1139.055,4634.045
2013/2/6,1155.594,4887.108
2013/2/7,1137.387,5065.431
2013/2/8,1102.762,5117.757
2013/2/9,1076.239,5093.654
2013/2/10,1057.326,5050.673
2013/2/11,1081.385,5058.729
2013/2/12,1022.78,4946.117
2013/2/13,1002.74,4878.136
2013/2/14,6.211,4813.261
2013/2/15,6.316,4634.516
2013/2/16,6.525,4602.167
2013/2/17,420.46,4439.063
2013/2/18,3013.356,4256.118
2013/2/19,773.718,4132.247
2013/2/20,1255.299,4005.649
2013/2/21,3616.332,3856.692
2013/2/22,6530.7,3769.342
2013/2/23,6.082,3676.538
2013/2/24,2643.817,3498.661
2013/2/25,3129.668,3427.699
2013/2/26,4587.127,3323.351
2013/2/27,2251.532,3260.677
2013/2/28,537.608,3177.717
2013/3/1,546.982,3109.649
2013/3/2,912.477,3068.485
2013/3/3,811.027,2993.76
2013/3/4,758.69,2945.656
2013/3/5,781.279,2944.322
2013/3/6,791.676,2911.326
2013/3/7,792.568,2920.531
2013/3/8,812.486,2891.553
2013/3/9,863.9,2932.264
2013/3/10,891.487,3176.074
2013/3/11,968.019,3396.255
2013/3/12,969.518,3627.36
2013/3/13,982.877,3822.713
2013/3/14,988.648,3928.251
2013/3/15,959.65,3981.819
2013/3/16,948.818,4066.466
2013/3/17,871.031,3980.702
2013/3/18,864.455,3931.53
2013/3/19,841.338,3796.166
2013/3/20,819.669,3715.081
2013/3/21,797.796,3600.563
2013/3/22,785.429,3572.792
2013/3/23,792.425,3528.195
2013/3/24,803.535,3493.612
2013/3/25,755.381,3546.352
2013/3/26,758.738,3515.701
2013/3/27,778.006,3342.536
2013/3/28,760.79,3368.235
2013/3/29,822.067,3306.982
2013/3/30,781.573,3293.509
2013/3/31,744.65,3240.913
2013/4/1,721.449,3176.817
2013/4/2,661.993,3164.723
2013/4/3,682.154,3057.935
2013/4/4,675.66,3012.341
2013/4/5,666.142,2978.646
2013/4/6,663.988,2945.033
2013/4/7,680.762,2936.992
2013/4/8,693.972,2935.766
2013/4/9,721.375,2893.882
2013/4/10,823.624,2929.455
2013/4/11,1330.608,3105.597
2013/4/12,1755.383,4158.24
2013/4/13,1704.366,4552.012
2013/4/14,1754.293,5862.82
2013/4/15,1457.025,5481.108
2013/4/16,1793.124,5002.891
2013/4/17,1660.842,4746.736
2013/4/18,1437.451,4528.43
2013/4/19,1307.542,4337.808
2013/4/20,1360.607,4220.825
2013/4/21,1955.371,4105.561
2013/4/22,1305.748,3934.533
2013/4/23,1053.703,3785.484
2013/4/24,1203.106,3599.184
2013/4/25,4592.853,3417.551
2013/4/26,1819.38,3244.067
2013/4/27,1098.942,2928.715
2013/4/28,1023.755,2696.197
2013/4/29,1222.621,2517.184
2013/4/30,663.696,2394.79
2013/5/1,634.666,2454.454
2013/5/2,646.478,2535.565
2013/5/3,599.508,2557.721
2013/5/4,551.149,2524.692
2013/5/5,489.69,2610.104
2013/5/6,451.099,2551.105
2013/5/7,503.296,2358.173
2013/5/8,455.417,2166.042
2013/5/9,377.219,1998.461
2013/5/10,355.295,1858.762
2013/5/11,397.836,1805.868
2013/5/12,412.814,1735.57
2013/5/13,373.825,1555.125
2013/5/14,407.154,1458.589
2013/5/15,519.58,1352.478
2013/5/16,892.674,2074.416
2013/5/17,751.688,1798.679
2013/5/18,988.598,1614.338
2013/5/19,951.531,1870.03
2013/5/20,828.45,2041.056
2013/5/21,780.812,2168.762
2013/5/22,734.97,2034.872
2013/5/23,711.012,1950.635
2013/5/24,739.62,1779.885
2013/5/25,808.767,2285.234
2013/5/26,660.947,1891.989
2013/5/27,798.805,2653.878
2013/5/28,791.645,3379.568
2013/5/29,732.776,3355.296
2013/5/30,724.924,3280.22
2013/5/31,695.474,2817.699
2013/6/1,718.69,2947.607
2013/6/2,750.678,3858.394
2013/6/3,752.415,4004.043
2013/6/4,666.531,3966.481
2013/6/5,739.586,3857.324
2013/6/6,1226.926,3684.234
2013/6/7,1324.936,3539.843
2013/6/8,1880.108,3445.542
2013/6/9,1602.54,3239.055
2013/6/10,1810.716,2705.554
2013/6/11,1324.824,2844.356
2013/6/12,1561.401,2678.223
2013/6/13,840.342,2623.688
2013/6/14,2459.869,2379.741
2013/6/15,1463.896,2334.834
2013/6/16,1880.165,2273.575
2013/6/17,1463.793,2263.837
2013/6/18,1672.067,2185.224
2013/6/19,1464.28,2028.892
2013/6/20,1197.995,1882.322
2013/6/21,467.45,1717.448
2013/6/22,432.719,1667.14
2013/6/23,395.786,1624.531
2013/6/24,368.514,1722.476
2013/6/25,435.206,1666.95
2013/6/26,468.289,1609.314
2013/6/27,508.864,1602.852
2013/6/28,483.095,1592.299
2013/6/29,456.102,1599.475
2013/6/30,413.917,1539.093
2013/7/1,389.597,1553.749
2013/7/2,371.53,1474.892
2013/7/3,423.924,1178.314
2013/7/4,394.987,1152.369
2013/7/5,314.661,1206.163
2013/7/6,290.665,1185.117
2013/7/7,301.568,1124.064
2013/7/8,297.876,1131.963
2013/7/9,305.081,1207.443
2013/7/10,337.381,1233.759
2013/7/11,419.124,1080.472
2013/7/12,445.736,944.635
2013/7/13,392.999,898.164
2013/7/14,304.327,857.594
2013/7/15,238.088,836.02
2013/7/16,213.899,857.445
2013/7/17,198.871,893.965
2013/7/18,209.572,1088.233
2013/7/19,254.156,1025.695
2013/7/20,263.725,934.853
2013/7/21,377.118,916.315
2013/7/22,482.035,904.407
2013/7/23,448.814,
2013/7/24,600.493,
2013/7/25,685.517,
2013/7/26,423.494,
2013/7/27,174.945,
2013/7/28,84.791,
2013/7/29,157.702,
2013/7/30,180.716,
2013/7/31,130.378,787.141
2013/8/1,192.667,720.795
2013/8/2,181.861,713.171
2013/8/3,182.941,697.856
2013/8/4,180.352,764.103
2013/8/5,162.043,721.585
2013/8/6,259.409,690.994
2013/8/7,753.113,1386.53
2013/8/8,445.369,836.579
2013/8/9,344.35,790.389
2013/8/10,342.203,752.035
2013/8/11,312.693,693.496
2013/8/12,324.635,690.02
2013/8/13,305.545,788.037
2013/8/14,256.524,665.869
2013/8/15,200.437,598.311
2013/8/16,160.892,520.817
2013/8/17,172.173,465.532
2013/8/18,183.826,440.309
2013/8/19,211.646,611.375
2013/8/20,161.177,539.727
2013/8/21,163.386,525.767
2013/8/22,123.132,559.815
2013/8/23,111.681,530.418
2013/8/24,75.479,496.446
2013/8/25,66.785,482.429
2013/8/26,141.795,473.316
2013/8/27,223.941,482.85
2013/8/28,297.602,666.048
2013/8/29,220.977,876.861
2013/8/30,221.387,596.794
2013/8/31,247.033,530.376
2013/9/1,217.374,673.005
2013/9/2,211.94,538.27
2013/9/3,214.857,522.098
2013/9/4,184.18,538.867
2013/9/5,183.944,471.475
2013/9/6,193.244,450.725
2013/9/7,186.577,460.473
2013/9/8,196.376,485.867
2013/9/9,538.24,1069.942
2013/9/10,426.089,1059.953
2013/9/11,660.565,1001.193
2013/9/12,534.883,841.426
2013/9/13,437.883,848.888
2013/9/14,432.21,772.093
2013/9/15,397.781,674.323
2013/9/16,342.735,695.804
2013/9/17,314.81,632.337
2013/9/18,277.854,644.201
2013/9/19,271.728,579.4
2013/9/20,272.7,587.068
2013/9/21,241.583,605.984
2013/9/22,201.381,592.522
2013/9/23,195.242,586.071
2013/9/24,182.615,598.555
2013/9/25,157.614,587.259
2013/9/26,156.623,649.035
2013/9/27,158.172,629.643
2013/9/28,156.491,614.862
2013/9/29,141.074,602.984
2013/9/30,123.026,582.305
2013/10/1,133.918,591.354
2013/10/2,132.937,660.114
2013/10/3,132.319,653.632
2013/10/4,139.815,652.14
2013/10/5,352.036,792.908
2013/10/6,615.255,901.229
2013/10/7,412.036,688.468
2013/10/8,336.574,556.257
2013/10/9,321.278,590.735
2013/10/10,353.508,742.865
2013/10/11,651.062,815.355
2013/10/12,892.436,1002.051
2013/10/13,734.257,1057.983
2013/10/14,719.634,1335.859
2013/10/15,689.94,1471.823
2013/10/16,673.903,1328.294
2013/10/17,640.758,1518.314
2013/10/18,624.582,1773.592
2013/10/19,622.037,1942.176
2013/10/20,593.287,1953.107
2013/10/21,553.554,1895.627
2013/10/22,519.281,1942.19
2013/10/23,544.794,1951.135
2013/10/24,527.666,1993.439
2013/10/25,521.305,1974.446
2013/10/26,459.533,1944.031
2013/10/27,417.017,1570.176
2013/10/28,461.572,1495.686
2013/10/29,484.821,1555.432
2013/10/30,549.164,1639.001
2013/10/31,596.343,1813.682
2013/11/1,613.584,1906.367
2013/11/2,622.724,1855.52
2013/11/3,854.4,1865.282
2013/11/4,938.159,2494.928
2013/11/5,962.475,3009.21
2013/11/6,914.118,3255.214
2013/11/7,899.165,3611.927
2013/11/8,942.315,3871.679
2013/11/9,969.805,4537.667
2013/11/10,959.209,4785.333
2013/11/11,967.377,5004.07
2013/11/12,963.771,5175.011
2013/11/13,924.531,5165.289
2013/11/14,958.513,5156.855
2013/11/15,942.062,5182.965
2013/11/16,947.403,5163.784
2013/11/17,934.993,5080.272
2013/11/18,909.22,4948.281
2013/11/19,896.613,4818.998
2013/11/20,835.015,2516.385
2013/11/21,854.368,3701.169
2013/11/22,906.262,4612.101
2013/11/23,882.705,1428.723
2013/11/24,961.508,5.181
2013/11/25,1105.7,5.171
2013/11/26,1115.436,5304.254
2013/11/27,1105.842,5787.483
2013/11/28,1031.094,5477.953
2013/11/29,989.71,686.695
2013/11/30,900.173,5.054
2013/12/1,955.483,5.108
2013/12/2,1003.087,5.121
2013/12/3,1033.653,2934.792
2013/12/4,1062.164,5138.676
2013/12/5,1036.556,5102.37
2013/12/6,1006.589,4934.186
2013/12/7,1002.084,4957.485
2013/12/8,1008.348,4563.534
2013/12/9,1104.102,3388.402
2013/12/10,1214.471,4330.499
2013/12/11,1201.083,4998.477
2013/12/12,1180.666,5150.362
2013/12/13,1170.064,5254.817
2013/12/14,1175.608,5283.869
2013/12/15,1148.933,5193.614
2013/12/16,1140.711,5073.43
2013/12/17,1083.21,5030.608
2013/12/18,1026.672,4979.069
2013/12/19,977.754,4808.059
2013/12/20,952.845,4677.457
2013/12/21,961.582,4537.226
2013/12/22,933.273,4479.424
2013/12/23,802.435,4219.628
2013/12/24,848.397,4050.595
2013/12/25,700.625,4006.438
2013/12/26,689.26,3943.269
2013/12/27,769.441,3837.177
2013/12/28,773.993,3777.606
2013/12/29,693.526,3259.512
2013/12/30,950.883,3382.625
2013/12/31,1066.361,3595.718
2014/1/1,1116.926,3784.884
2014/1/2,1101.387,3880.555
2014/1/3,1015.002,3782.837
2014/1/4,948.883,3668.525
2014/1/5,962.387,3684.741
2014/1/6,969.376,3687.881
2014/1/7,987.434,3257.144
2014/1/8,1076.39,3486.231
2014/1/9,1241.406,4025.573
2014/1/10,1152.844,4057.132
2014/1/11,1272.958,4673.761
2014/1/12,1208.495,4920.035
2014/1/13,1249.397,5092.161
2014/1/14,1254.369,5297.372
2014/1/15,1219.279,5350.49
2014/1/16,1160.927,5391.438
2014/1/17,1098.662,5076.609
2014/1/18,1118.819,5012.901
2014/1/19,1116.793,5020.016
2014/1/20,1103.629,4940.303
2014/1/21,1107.873,4923.239
2014/1/22,1103.168,4918.344
2014/1/23,1098.42,4903.777
2014/1/24,1080.311,4835.541
2014/1/25,1135.561,4898.242
2014/1/26,966.075,4897.195
2014/1/27,1035.585,4774.045
2014/1/28,363.465,4699.347
2014/1/29,5.498,4607.805
2014/1/30,5.355,4550.981
2014/1/31,5.445,4472.603
2014/2/1,5.504,4403.773
2014/2/2,5.467,4224.073
